mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
17	16	191/4	191/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	130	Doch										
17	16	181/4	181/4	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	131									28		
17	16	185/4	185/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	132											
17	16	181/4	181/4	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	133											
17	16	185/4	185/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	134											
18	17	193/4	193/4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	135	bald										
18	17	199/4	199/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	136	ist										
18	17	201/4	201/4	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	137	er										
18	17	203/4	203/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	138	hin-										
18	17	197/4	197/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	139											
18	17	197/4	197/4	0.0	1/4	1/4	Dynamic	3/4	3	1	0						mp									
18	17	197/4	197/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	140											
19	18	205/4	205/4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	141	-weg-										
19	18	52	52	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142	-ge-										
19	18	209/4	209/4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	143	-thaut,										
19	18	215/4	215/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	144	hab'										
19	18	209/4	209/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	145											
19	18	209/4	209/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	146											
20	19	217/4	217/4	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	147	wie-										
20	19	223/4	223/4	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	148	-der										
20	19	225/4	225/4	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	149	schwar-										
20	19	679/12	679/12	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	150											
20	19	683/12	683/12	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	151	-ze										
20	19	221/4	221/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	152											
20	19	217/4	217/4	0.0	0	0	Dynamic	3/4	3	1	0						mf									
20	19	221/4	221/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	153											
21	20	229/4	229/4	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	154	Haa-										
21	20	233/4	233/4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	155	-re,										
21	20	239/4	239/4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	156	dass										
21	20	233/4	233/4	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	157											
21	20	233/4	233/4	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	158											
22	21	241/4	241/4	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	159	mir's										
22	21	61	61	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	160	vor										
22	21	245/4	245/4	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	161	mei-										
22	21	62	62	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	162	-ner										
22	21	249/4	249/4	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	163	Ju-										
22	21	63	63	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	164	-gend										
