mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_line	decrescendo_hairpin	crescendo_hairpin
52	51	204	204	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	534			articAccentAbove												
53	52	205	205	0.0	0	0	Spanner	2/2	2	1	0																2			
53	52	205	205	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	535			articStaccatoBelow								20	2			
53	52	206	206	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	536			articStaccatoBelow								20	2			
53	52	207	207	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	537			articStaccatoBelow								20	2			
53	52	208	208	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	538			articStaccatoBelow									2			
53	52	205	205	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	539			articStaccatoAbove												
53	52	206	206	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	540			articStaccatoAbove								21				
53	52	207	207	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	541			articStaccatoAbove								21				
53	52	208	208	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	542			articStaccatoAbove												
54	53	209	209	0.0	0	0	Spanner	2/2	2	1	0																			
54	53	209	209	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	543			articAccentBelow												
54	53	210	210	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	544			articStaccatoBelow												
54	53	421/2	421/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	545			articStaccatoBelow												
54	53	211	211	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	546			articAccentBelow												
54	53	212	212	0.5	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	547			articStaccatoBelow												
54	53	425/2	425/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	548			articStaccatoBelow												
54	53	209	209	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	549			articStaccatoAbove												
54	53	210	210	2.0	1/4	1/4	Chord	2/2	3	1	1/2		1/2	1	550			articAccentAbove												
54	53	212	212	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	551			articStaccatoAbove												
55	54	213	213	0.0	0	0	Dynamic	2/2	2	1	0						pp													
55	54	213	213	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	552			articAccentBelow												
55	54	214	214	0.5	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	553			articStaccatoBelow												
55	54	429/2	429/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	554			articStaccatoBelow												
55	54	215	215	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	555			articStaccatoBelow												
55	54	216	216	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	556			articStaccatoBelow												
55	54	213	213	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	557			articAccentAbove												
55	54	214	214	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	558			articStaccatoBelow												
55	54	429/2	429/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	559			articStaccatoBelow												
55	54	215	215	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	560			articStaccatoBelow												
55	54	216	216	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	561			articStaccatoBelow												
56	55	217	217	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	562															
56	55	217	217	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	563															
