mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	189														
14	14	41	41	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	190														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	191														
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	192	ho-													
15	15	85/2	85/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	193	-len,													
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	194	bis													
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	195	ich													
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	196	nicht													
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	197	mehr													
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	198	die													
15	15	169/4	169/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	199														
15	15	171/4	171/4	0.0	3/16	3/16	StaffText	3/4	2	1	0							cresc.										
15	15	171/4	171/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	200														
15	15	173/4	173/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	201														
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	202														
15	15	177/4	177/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	203														
15	15	179/4	179/4	0.0	11/16	11/16	Spanner	3/4	2	1	0																	5
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	204														5
15	15	42	42	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	205														
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	206														
15	15	43	43	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	207														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	208														
15	15	44	44	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	209														
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	210														
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	211	Tür-													
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	212	-me													
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	213	seh,													
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	214	hab													
16	16	45	45	0.0	0	0	Spanner	3/4	2	1	0																	
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	215														
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	216														
16	16	185/4	185/4	0.0	5/16	5/16	Spanner	3/4	2	1	0																5	
16	16	185/4	185/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	217													5	
16	16	93/2	93/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0					f											5	
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	218													5	
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	219													5	
16	16	191/4	191/4	0.0	11/16	11/16	Dynamic	3/4	2	1	0					p											5	
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	220													5	
16	16	45	45	0.5	0	0	Chord	3/4	3	1	1/8	1/8	1	221														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8	1/8	1	222														
16	16	46	46	0.5	1/4	1/4	Chord	3/4	3	1	1/8	1/8	1	223														
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	224														
16	16	47	47	0.5	1/2	1/2	Chord	3/4	3	1	1/8	1/8	1	225														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	226														
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	227	mich													
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	228	an													
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	229	je-													
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	230	-dem													
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	231	Stein													
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	232	ge-													
17	17	48	48	0.0	0	0	Spanner	3/4	2	1	0																	
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	233														
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	234														
17	17	197/4	197/4	0.0	5/16	5/16	Spanner	3/4	2	1	0																6	
